Date,Time,Ask,Bid,AskVolume,BidVolume
11-08-2014,00:00:00.000,1.34046,1.34042,1.25,1.69
11-08-2014,00:00:02.159,1.34047,1.34043,4.69,1
11-08-2014,00:00:02.667,1.34046,1.34042,1.32,2.44
11-08-2014,00:00:03.175,1.34046,1.34043,1.32,1
11-08-2014,00:00:07.058,1.34046,1.34043,3.75,1.69
11-08-2014,00:00:07.362,1.34043,1.34041,2.25,1
11-08-2014,00:00:08.324,1.34043,1.34042,1.5,1
11-08-2014,00:00:08.830,1.34045,1.34043,2.44,1
11-08-2014,00:00:08.982,1.34043,1.34041,3,1.69
11-08-2014,00:00:09.815,1.34042,1.34041,1,1
11-08-2014,00:00:10.540,1.34043,1.34041,2.63,1
11-08-2014,00:00:11.061,1.34043,1.3404,7.99,2.25
11-08-2014,00:00:11.617,1.34042,1.34041,1.13,1
11-08-2014,00:00:13.607,1.34043,1.3404,7.5,3.19
11-08-2014,00:00:14.535,1.34043,1.34041,5.25,1
11-08-2014,00:00:15.525,1.34043,1.34041,3.38,1.25
11-08-2014,00:00:17.960,1.34043,1.34041,4.5,1.25
11-08-2014,00:00:20.674,1.34042,1.3404,1.13,2.07
11-08-2014,00:00:21.191,1.34041,1.3404,1,1
11-08-2014,00:00:21.699,1.34042,1.3404,3.38,1.5
11-08-2014,00:00:22.204,1.34043,1.3404,1.5,2.44
11-08-2014,00:00:22.882,1.34043,1.3404,2.25,3.19
11-08-2014,00:00:23.453,1.34043,1.3404,3,3.57
11-08-2014,00:00:25.859,1.34043,1.3404,3,2.44
11-08-2014,00:00:35.748,1.34043,1.3404,4.88,2.44
11-08-2014,00:00:36.257,1.34043,1.3404,1.88,5.07
11-08-2014,00:00:38.917,1.34043,1.3404,1.5,2.07
11-08-2014,00:00:39.917,1.34043,1.3404,1.88,2.82
11-08-2014,00:00:40.933,1.34043,1.3404,1.88,2.07
11-08-2014,00:00:41.905,1.34043,1.3404,1.5,2.44
11-08-2014,00:00:42.901,1.34043,1.3404,1.5,2.44
11-08-2014,00:00:43.897,1.34043,1.3404,1.5,2.44
11-08-2014,00:00:47.938,1.34043,1.3404,1.5,2.07
11-08-2014,00:00:50.221,1.34044,1.3404,5.25,3.57
11-08-2014,00:00:50.936,1.34044,1.3404,5.25,4.32
11-08-2014,00:00:51.478,1.34043,1.3404,1,3.57
11-08-2014,00:00:52.022,1.34044,1.3404,5.25,3.19
11-08-2014,00:00:54.020,1.34044,1.3404,5.25,4.32
11-08-2014,00:00:56.660,1.34042,1.34036,3,3.75
11-08-2014,00:00:56.964,1.34035,1.34033,1,2.44
11-08-2014,00:00:57.166,1.34037,1.34035,2.25,1
11-08-2014,00:00:57.217,1.34037,1.34035,1,1.5
11-08-2014,00:00:57.318,1.34039,1.34037,1,2.25
11-08-2014,00:00:57.407,1.34041,1.34039,1,2.5
11-08-2014,00:00:57.509,1.34042,1.3404,1.24,1
11-08-2014,00:00:58.017,1.34043,1.34042,1,1
11-08-2014,00:00:58.068,1.34045,1.34042,1.62,1
11-08-2014,00:00:58.927,1.34044,1.34042,1,1
11-08-2014,00:00:59.443,1.34044,1.3404,3.75,2.82
11-08-2014,00:01:00.309,1.34044,1.3404,1.5,3.57
11-08-2014,00:01:01.484,1.34043,1.3404,2.07,1.88
11-08-2014,00:01:01.636,1.34041,1.34039,1,1.69
11-08-2014,00:01:01.946,1.3404,1.34037,2.81,2.44
11-08-2014,00:01:05.697,1.3404,1.34036,3.56,3
11-08-2014,00:01:05.906,1.34038,1.34035,1.5,2.82
