Date,Time,Ask,Bid,AskVolume,BidVolume
12-08-2014,00:00:01.314,1.67818,1.67809,1,2.03
12-08-2014,00:00:05.040,1.67818,1.67808,1.19,1.2
12-08-2014,00:00:05.192,1.67814,1.67805,1.13,1.1
12-08-2014,00:00:05.705,1.67813,1.67802,1,1.5
12-08-2014,00:00:06.967,1.67813,1.67804,1,1.77
12-08-2014,00:00:07.018,1.67816,1.67804,1.13,1.77
12-08-2014,00:00:07.271,1.67818,1.67805,1.32,2.03
12-08-2014,00:00:07.422,1.67818,1.67808,1.32,1
12-08-2014,00:00:07.934,1.67819,1.67808,1.19,1.08
12-08-2014,00:00:08.458,1.6782,1.67808,2.07,1.18
12-08-2014,00:00:14.066,1.6782,1.67808,1.69,1.18
12-08-2014,00:00:15.458,1.6782,1.67807,1.69,1.58
12-08-2014,00:00:16.076,1.6782,1.67808,1.5,1.93
12-08-2014,00:00:16.581,1.6782,1.67809,1.5,2.7
12-08-2014,00:00:22.087,1.6782,1.67807,1.5,4.58
12-08-2014,00:00:22.625,1.6782,1.67807,1.5,2.7
12-08-2014,00:00:22.984,1.67818,1.67807,1,2.7
12-08-2014,00:00:24.877,1.67818,1.67809,1,1.08
12-08-2014,00:00:27.959,1.67818,1.67807,1,1.65
12-08-2014,00:00:29.607,1.67818,1.67807,1,1
12-08-2014,00:00:30.123,1.67819,1.67807,1.2,1
12-08-2014,00:00:30.635,1.67819,1.67807,1.09,1.19
12-08-2014,00:00:31.815,1.67819,1.67805,1.39,2.59
12-08-2014,00:00:35.835,1.67812,1.67805,1,1.95
12-08-2014,00:00:35.885,1.67812,1.67803,1,3.19
12-08-2014,00:00:35.936,1.67812,1.67803,1,1.5
12-08-2014,00:00:36.441,1.67812,1.67804,1,1
12-08-2014,00:00:36.948,1.67812,1.67802,1.25,1.02
12-08-2014,00:00:38.067,1.67812,1.67805,1.25,1
12-08-2014,00:00:38.269,1.67818,1.67808,1.39,1.25
12-08-2014,00:00:38.320,1.6782,1.67808,3.83,1.69
12-08-2014,00:00:38.422,1.67821,1.67811,1,1.57
12-08-2014,00:00:38.523,1.67823,1.67812,1.13,1.39
12-08-2014,00:00:38.725,1.67825,1.67813,1.02,1.02
12-08-2014,00:00:38.827,1.67825,1.67814,1.1,1.32
12-08-2014,00:00:39.231,1.67827,1.67816,2.52,2.44
12-08-2014,00:00:39.636,1.67828,1.67817,1.29,1.19
