Time,Ask,Bid,AskVolume,BidVolume,
2014.08.13,00:00:00.497,1.68057,1.68046,1,2.82
2014.08.13,00:00:01.097,1.68059,1.68046,1,2.82
2014.08.13,00:00:02.326,1.68058,1.68046,1,2.07
2014.08.13,00:00:03.654,1.68059,1.68046,1.13,2.07
2014.08.13,00:00:04.160,1.68053,1.68043,1.13,1.58
2014.08.13,00:00:04.412,1.68051,1.6804,1.19,1.08
2014.08.13,00:00:04.513,1.68049,1.68039,1.19,1.1
2014.08.13,00:00:04.665,1.68047,1.68036,1.33,1.32
2014.08.13,00:00:04.918,1.68049,1.68035,1.29,1.67
2014.08.13,00:00:05.894,1.68049,1.68035,1.58,1.69
2014.08.13,00:00:06.239,1.68054,1.6804,2.44,1.47
2014.08.13,00:00:06.443,1.68054,1.6804,1.69,2.82
2014.08.13,00:00:07.000,1.68053,1.68041,3.94,1.3
2014.08.13,00:00:07.614,1.68053,1.68042,3.75,1.47
2014.08.13,00:00:08.575,1.68053,1.68042,3.75,2.97
2014.08.13,00:00:09.083,1.68056,1.68043,1.94,2.07
2014.08.13,00:00:09.589,1.68056,1.68043,1.25,3.19
2014.08.13,00:00:10.926,1.68058,1.68044,1.69,1.47
2014.08.13,00:00:12.061,1.68058,1.68044,3.19,1.47
2014.08.13,00:00:15.458,1.68055,1.68043,3.75,1.69
2014.08.13,00:00:17.559,1.68056,1.68043,1.25,1.69
2014.08.13,00:00:18.125,1.68053,1.68043,3.75,1.69
2014.08.13,00:00:18.646,1.68053,1.68042,3.75,1.37
2014.08.13,00:00:19.001,1.68056,1.68042,1.09,1.37
2014.08.13,00:00:19.523,1.68056,1.68042,1.25,2.44
2014.08.13,00:00:19.880,1.68054,1.68042,3.75,1.29
2014.08.13,00:00:21.168,1.68054,1.68042,4.5,1.77
2014.08.13,00:00:23.635,1.68053,1.68042,1,1.77
2014.08.13,00:00:23.736,1.68053,1.68042,1.25,1.29
2014.08.13,00:00:23.938,1.68053,1.6804,1.19,1.09
2014.08.13,00:00:24.336,1.6805,1.6804,3.75,1.02
2014.08.13,00:00:24.847,1.6805,1.68037,3.75,4.02
2014.08.13,00:00:25.352,1.6805,1.68037,3.75,3.27
2014.08.13,00:00:25.656,1.68047,1.68035,1.37,1.19
2014.08.13,00:00:26.464,1.68046,1.68034,4.02,2.52
2014.08.13,00:00:29.419,1.68046,1.68034,3.94,1.84
