Time,Ask,Bid,AskVolume,BidVolume,
2014.08.13,00:00:00.322,0.90771,0.90762,1.1,1
2014.08.13,00:00:00.829,0.90771,0.90761,1.1,1.25
2014.08.13,00:00:01.354,0.90771,0.90762,1.1,1
2014.08.13,00:00:01.863,0.90775,0.90762,2.22,1
2014.08.13,00:00:02.523,0.90775,0.90761,2.97,1
2014.08.13,00:00:03.049,0.90775,0.90761,2.97,1
2014.08.13,00:00:03.554,0.90775,0.90761,2.97,1
2014.08.13,00:00:04.060,0.90775,0.90761,2.22,1
2014.08.13,00:00:04.565,0.90773,0.90759,1.78,1.77
2014.08.13,00:00:05.289,0.90772,0.9076,1.1,1.02
2014.08.13,00:00:12.063,0.90772,0.9076,1.65,1.63
2014.08.13,00:00:12.628,0.9077,0.9076,1,1.63
2014.08.13,00:00:13.666,0.9077,0.90762,1,1
2014.08.13,00:00:14.738,0.90773,0.90761,1.02,1.2
2014.08.13,00:00:15.253,0.90773,0.90759,1.33,2.97
2014.08.13,00:00:16.075,0.90773,0.90759,1.84,2.97
2014.08.13,00:00:16.678,0.90773,0.90761,1.18,1.25
2014.08.13,00:00:17.199,0.90773,0.90761,1.2,1.02
2014.08.13,00:00:17.713,0.90773,0.90761,1.18,1.63
2014.08.13,00:00:18.220,0.90773,0.90761,1.2,1.63
2014.08.13,00:00:18.949,0.90773,0.90761,1.08,1.63
2014.08.13,00:00:19.470,0.90773,0.9076,1.1,1.74
2014.08.13,00:00:20.295,0.90773,0.90761,1.1,1.39
2014.08.13,00:00:21.424,0.90773,0.90761,1.1,1.48
2014.08.13,00:00:22.450,0.90773,0.90759,1.1,3.72
2014.08.13,00:00:23.194,0.90773,0.90759,1.08,3.64
2014.08.13,00:00:23.742,0.90773,0.90759,1.08,3.64
2014.08.13,00:00:24.285,0.90773,0.90759,1.58,3.64
2014.08.13,00:00:24.804,0.90773,0.90759,1.58,3.72
2014.08.13,00:00:25.318,0.90773,0.90759,1.65,3.72
2014.08.13,00:00:25.931,0.90772,0.90759,1.1,2.22
2014.08.13,00:00:26.235,0.90772,0.90759,1.47,1
2014.08.13,00:00:26.741,0.9077,0.90758,1.1,1.02
2014.08.13,00:00:27.981,0.9077,0.90758,1.09,1
2014.08.13,00:00:37.114,0.9077,0.90758,2.59,1
2014.08.13,00:00:37.677,0.9077,0.90758,2.59,1
2014.08.13,00:00:42.328,0.90767,0.90755,1,3.72
2014.08.13,00:00:42.684,0.90765,0.90755,1,1.33
2014.08.13,00:00:42.989,0.90767,0.90755,1.5,1.09
2014.08.13,00:00:46.412,0.90767,0.90755,1.5,1.1
2014.08.13,00:00:46.948,0.90767,0.90755,1,1.18
2014.08.13,00:00:49.096,0.90767,0.90755,1.02,1.2
2014.08.13,00:00:49.614,0.90767,0.90755,1.25,1.18
2014.08.13,00:00:51.377,0.90767,0.90755,1.2,1.2
2014.08.13,00:00:51.913,0.90767,0.90755,1.13,1.18
2014.08.13,00:00:55.013,0.90767,0.90755,2.14,1.1
2014.08.13,00:00:55.971,0.90767,0.90755,2.07,1.08
2014.08.13,00:00:57.048,0.90767,0.90755,2.14,1.2
2014.08.13,00:00:57.564,0.90767,0.90755,1.63,1.18
2014.08.13,00:01:06.939,0.90767,0.90755,1.47,1
2014.08.13,00:01:21.226,0.90767,0.90755,1.32,1.18
2014.08.13,00:01:32.545,0.90767,0.90755,1.39,1.58
2014.08.13,00:01:33.136,0.90767,0.90755,1.32,1.65
2014.08.13,00:01:33.491,0.90768,0.90758,1.47,1
2014.08.13,00:01:34.009,0.90768,0.90758,1.39,1
2014.08.13,00:01:34.564,0.90768,0.90758,1.47,1
2014.08.13,00:01:35.121,0.90768,0.90758,1.32,1
2014.08.13,00:01:36.076,0.90768,0.90758,1.39,1
2014.08.13,00:01:36.737,0.90768,0.90758,1.39,1
2014.08.13,00:01:38.359,0.90768,0.90758,1.47,1
2014.08.13,00:01:39.580,0.90768,0.90758,1.39,1
2014.08.13,00:01:42.226,0.90768,0.90758,1.39,1
2014.08.13,00:02:19.759,0.90767,0.90756,1.02,1
2014.08.13,00:02:20.271,0.90767,0.90755,1.02,1.95
2014.08.13,00:02:28.422,0.90767,0.90755,1.02,1.95
2014.08.13,00:02:33.340,0.90767,0.90757,1.02,1
2014.08.13,00:02:34.014,0.90767,0.90756,1.02,1.13
2014.08.13,00:02:41.358,0.90767,0.90755,1,2.22
2014.08.13,00:02:41.864,0.90768,0.90755,1.25,2.22
2014.08.13,00:02:43.847,0.90768,0.90756,1,1.47
2014.08.13,00:02:55.424,0.90768,0.90758,1,1
2014.08.13,00:03:03.387,0.90768,0.90759,1,1.1
