Time,Ask,Bid,AskVolume,BidVolume,
2014.08.15,00:00:01.487,1.33615,1.33613,3.38,1.5
2014.08.15,00:00:04.829,1.33616,1.33614,1.5,1
2014.08.15,00:00:07.930,1.33615,1.33613,2.63,1
2014.08.15,00:00:08.434,1.33614,1.33613,1,1
2014.08.15,00:00:08.942,1.33614,1.33612,1,1
2014.08.15,00:00:09.447,1.33613,1.33612,1.5,1
2014.08.15,00:00:09.955,1.33613,1.33611,1.5,1
2014.08.15,00:00:10.900,1.33613,1.3361,1.5,1.88
2014.08.15,00:00:15.583,1.33613,1.33611,1.5,1
2014.08.15,00:00:15.735,1.33612,1.33609,1,1.5
2014.08.15,00:00:15.920,1.3361,1.33607,1.5,1.5
2014.08.15,00:00:16.274,1.33608,1.33605,1,1.5
2014.08.15,00:00:16.325,1.33608,1.33606,1.13,1
2014.08.15,00:00:16.577,1.33607,1.33604,2.25,1.88
2014.08.15,00:00:16.788,1.33607,1.33605,1.5,1
2014.08.15,00:00:17.299,1.33608,1.33606,1,1
2014.08.15,00:00:17.876,1.33607,1.33606,1.5,1
2014.08.15,00:00:23.478,1.33608,1.33606,1,1
2014.08.15,00:00:23.983,1.33609,1.33606,6.38,1
2014.08.15,00:00:24.529,1.33608,1.33607,1,1
2014.08.15,00:00:25.031,1.33609,1.33607,6.38,1
2014.08.15,00:01:04.748,1.33608,1.33607,1,1
2014.08.15,00:01:25.100,1.33609,1.33607,2.25,1
2014.08.15,00:01:46.170,1.33608,1.33607,1,1
2014.08.15,00:01:46.675,1.33608,1.33606,2.25,1.25
2014.08.15,00:01:50.844,1.33608,1.33606,2.25,1
2014.08.15,00:01:52.679,1.33609,1.33607,3,1
2014.08.15,00:01:54.886,1.33608,1.33606,3,1
2014.08.15,00:01:58.936,1.33607,1.33604,2.63,2.63
2014.08.15,00:01:58.988,1.33606,1.33604,1,3.38
2014.08.15,00:02:05.872,1.33606,1.33605,1.5,1
2014.08.15,00:02:19.708,1.33607,1.33605,2.25,1
2014.08.15,00:02:20.331,1.33606,1.33605,1,1
2014.08.15,00:02:20.843,1.33607,1.33605,1.5,1
2014.08.15,00:02:21.364,1.33606,1.33605,1,1
2014.08.15,00:02:21.878,1.33607,1.33605,1,1
2014.08.15,00:02:22.392,1.33606,1.33605,1,1
2014.08.15,00:02:22.900,1.33607,1.33605,1.5,1
2014.08.15,00:02:23.422,1.33606,1.33605,1,1
2014.08.15,00:02:24.091,1.33607,1.33605,1.5,1
2014.08.15,00:02:24.805,1.33606,1.33605,1,1
2014.08.15,00:02:25.814,1.33607,1.33605,3.38,1
2014.08.15,00:02:26.328,1.33606,1.33605,1,1
2014.08.15,00:02:26.877,1.33606,1.33604,1,2.82
2014.08.15,00:02:27.489,1.33607,1.33604,3.38,2.07
2014.08.15,00:02:28.170,1.33606,1.33604,1,2.82
2014.08.15,00:02:28.840,1.33607,1.33604,3.38,2.07
2014.08.15,00:02:29.371,1.33606,1.33604,1,2.82
2014.08.15,00:02:29.901,1.33607,1.33604,1,2.82
2014.08.15,00:02:35.044,1.33607,1.33606,1,1
2014.08.15,00:02:37.924,1.33607,1.33605,1,1
2014.08.15,00:02:57.686,1.33607,1.33604,1,3
2014.08.15,00:03:05.061,1.33607,1.33605,1,1.32
2014.08.15,00:03:05.566,1.33607,1.33604,1,1.5
2014.08.15,00:03:19.306,1.33608,1.33604,3.19,2.07
2014.08.15,00:03:26.196,1.33608,1.33605,3.75,1
2014.08.15,00:03:44.081,1.33608,1.33604,3.94,2.82
2014.08.15,00:03:50.935,1.33608,1.33605,3.75,1
2014.08.15,00:03:57.087,1.33607,1.33605,1,1
2014.08.15,00:04:18.314,1.33607,1.33604,1,3
2014.08.15,00:04:19.761,1.33607,1.33605,1,1
2014.08.15,00:04:53.864,1.33607,1.33604,1.5,3.19
2014.08.15,00:04:55.335,1.33607,1.33604,1.5,3.94
2014.08.15,00:04:59.157,1.33607,1.33604,1.5,3.75
2014.08.15,00:05:48.159,1.33607,1.33604,1.5,2.07
2014.08.15,00:05:52.656,1.33607,1.33604,1.5,2.07
2014.08.15,00:05:54.225,1.33607,1.33604,1,4.77
2014.08.15,00:05:56.044,1.33607,1.33604,1,2.52
2014.08.15,00:05:56.549,1.33607,1.33604,1,3.27
2014.08.15,00:05:58.552,1.33607,1.33604,1,2.33
2014.08.15,00:05:59.156,1.33607,1.33605,1,1.2
2014.08.15,00:05:59.747,1.33607,1.33604,1,2.33
2014.08.15,00:06:00.309,1.33607,1.33605,1,1.39
2014.08.15,00:06:04.604,1.33608,1.33604,3.75,3.57
2014.08.15,00:06:05.109,1.33608,1.33606,1,1
2014.08.15,00:06:14.515,1.33608,1.33606,1,1.23
2014.08.15,00:06:15.486,1.33608,1.33606,1,1.3
2014.08.15,00:06:15.994,1.33608,1.33606,1,1.23
2014.08.15,00:06:17.032,1.33608,1.33606,1,1.3
2014.08.15,00:06:17.826,1.33608,1.33606,1,1.23
2014.08.15,00:06:18.366,1.33608,1.33606,1,1.3
2014.08.15,00:06:18.880,1.33608,1.33606,1,1.23
2014.08.15,00:06:19.391,1.33608,1.33606,1,1.3
2014.08.15,00:06:19.905,1.33608,1.33606,1,1.23
2014.08.15,00:06:20.418,1.33608,1.33606,1,1.3
2014.08.15,00:06:21.185,1.33608,1.33606,1,1.23
2014.08.15,00:06:21.797,1.33608,1.33606,1,1.3
2014.08.15,00:06:22.410,1.3361,1.33606,12.38,2.4
2014.08.15,00:06:22.938,1.33609,1.33606,1.25,3.15
2014.08.15,00:06:23.439,1.3361,1.33606,7.5,2.4
2014.08.15,00:06:24.051,1.33609,1.33606,1.69,2.4
2014.08.15,00:06:24.598,1.3361,1.33606,6,2.4
2014.08.15,00:06:25.177,1.33609,1.33606,1.69,2.4
