Date,Time,Ask,Bid,AskVolume,BidVolume
15-08-2014,00:00:01.018,102.513,102.511,1,1
15-08-2014,00:00:01.541,102.514,102.511,2.25,1
15-08-2014,00:00:14.554,102.513,102.51,1.5,1.5
15-08-2014,00:00:14.857,102.514,102.512,1,4.75
15-08-2014,00:00:14.907,102.517,102.513,3.19,1.5
15-08-2014,00:00:15.059,102.515,102.513,1,2.25
15-08-2014,00:00:15.210,102.515,102.512,1.5,1.5
15-08-2014,00:00:15.733,102.515,102.513,1.5,1
15-08-2014,00:00:16.272,102.516,102.513,2.25,1.5
15-08-2014,00:00:16.373,102.515,102.512,1,1.13
15-08-2014,00:00:16.576,102.516,102.513,1.5,1.5
15-08-2014,00:00:16.677,102.515,102.513,1,1
15-08-2014,00:00:16.880,102.514,102.511,1,2.25
15-08-2014,00:00:16.981,102.514,102.513,1,1
15-08-2014,00:00:17.082,102.516,102.513,1,2.25
15-08-2014,00:00:17.234,102.515,102.513,1,1.5
15-08-2014,00:00:17.587,102.516,102.513,1.5,2.25
15-08-2014,00:00:17.789,102.514,102.513,1,1
15-08-2014,00:00:17.940,102.516,102.513,1,1
15-08-2014,00:00:19.156,102.516,102.514,1,1
15-08-2014,00:00:20.190,102.517,102.514,1,1
15-08-2014,00:00:21.197,102.517,102.513,1,2.25
15-08-2014,00:00:21.730,102.517,102.514,1,7.5
15-08-2014,00:00:22.518,102.517,102.515,1,1
15-08-2014,00:00:23.022,102.517,102.516,1,5.25
15-08-2014,00:00:23.577,102.519,102.516,1,13
15-08-2014,00:00:23.679,102.521,102.518,1.5,1
15-08-2014,00:00:24.435,102.521,102.517,3.19,2.25
15-08-2014,00:00:25.210,102.52,102.517,1,2.25
15-08-2014,00:00:27.077,102.518,102.517,1,1
15-08-2014,00:00:28.478,102.52,102.517,2.44,1
15-08-2014,00:00:29.029,102.519,102.517,1,1
15-08-2014,00:00:29.331,102.518,102.515,1,6.75
15-08-2014,00:00:30.810,102.515,102.513,1,1
15-08-2014,00:00:31.063,102.514,102.511,1,2.44
15-08-2014,00:00:31.578,102.513,102.511,1,1.25
15-08-2014,00:00:32.090,102.513,102.512,1,1
15-08-2014,00:00:32.500,102.513,102.51,1,6.19
15-08-2014,00:00:33.017,102.513,102.511,1,1
15-08-2014,00:00:33.068,102.514,102.512,1.69,1
15-08-2014,00:00:33.119,102.515,102.513,2.25,3.75
15-08-2014,00:00:33.170,102.518,102.515,2.25,1
15-08-2014,00:00:33.674,102.516,102.514,1,1
15-08-2014,00:00:34.835,102.518,102.514,3.94,1.5
15-08-2014,00:00:37.335,102.517,102.514,1.25,2.25
15-08-2014,00:00:38.211,102.516,102.513,1,1
15-08-2014,00:00:39.078,102.516,102.512,1,1.88
15-08-2014,00:00:44.787,102.516,102.513,1,1
15-08-2014,00:00:45.756,102.515,102.513,1,1.88
15-08-2014,00:00:46.260,102.516,102.513,1,2.63
15-08-2014,00:00:46.787,102.515,102.514,1,1
15-08-2014,00:00:47.319,102.515,102.513,1,1.5
15-08-2014,00:00:50.484,102.516,102.514,1,1
15-08-2014,00:00:51.647,102.518,102.514,2.44,1.88
15-08-2014,00:00:53.030,102.518,102.515,1.25,1
15-08-2014,00:00:53.542,102.517,102.516,1,1
