Date,Time,Ask,Bid,AskVolume,BidVolume
11-09-2014,00:00:00.000,0.93698,0.93686,1.17,1.87
11-09-2014,00:00:01.027,0.93698,0.93685,1.17,1.1
11-09-2014,00:00:01.892,0.93698,0.93685,1.15,1
11-09-2014,00:00:02.401,0.93698,0.93685,1.17,1.1
11-09-2014,00:00:02.915,0.93698,0.93685,1.15,1
11-09-2014,00:00:03.423,0.93698,0.93685,1.27,1.2
11-09-2014,00:00:03.575,0.93698,0.93685,1.27,1.12
11-09-2014,00:00:06.567,0.93698,0.93685,1.15,1.12
11-09-2014,00:00:07.207,0.93698,0.93685,1.15,1.12
11-09-2014,00:00:07.512,0.93698,0.93685,1.15,1.12
11-09-2014,00:00:10.883,0.93698,0.93685,1.52,1
11-09-2014,00:00:12.606,0.93698,0.93685,1.52,1
11-09-2014,00:00:14.103,0.93698,0.93685,1.52,1
11-09-2014,00:00:14.635,0.93698,0.93685,1.1,1.17
11-09-2014,00:00:14.686,0.93698,0.93685,1.07,1.1
11-09-2014,00:00:15.193,0.93698,0.93685,1.2,1.1
11-09-2014,00:00:16.082,0.93698,0.93685,1.27,1
11-09-2014,00:00:16.590,0.93698,0.93685,1.07,1
11-09-2014,00:00:16.901,0.93698,0.93685,1.15,1
11-09-2014,00:00:23.188,0.93698,0.93685,1.15,1
11-09-2014,00:00:23.968,0.93698,0.93685,1.15,1
11-09-2014,00:00:25.589,0.93698,0.93685,1.15,1
11-09-2014,00:00:33.338,0.93698,0.93685,1.4,1.31
11-09-2014,00:00:33.847,0.93698,0.93685,1.4,1.25
11-09-2014,00:00:34.412,0.93698,0.93685,1.09,1.01
11-09-2014,00:00:34.920,0.93698,0.93685,1.4,1.25
11-09-2014,00:00:35.602,0.93698,0.93685,1.17,1.37
11-09-2014,00:00:36.116,0.93698,0.93685,1.17,1.47
11-09-2014,00:00:36.847,0.93698,0.93685,1.15,2.06
11-09-2014,00:00:37.644,0.93698,0.93685,1.84,1.31
11-09-2014,00:00:38.219,0.93698,0.93685,1.84,1.62
11-09-2014,00:00:41.134,0.93698,0.93685,1.84,1.62
11-09-2014,00:00:41.753,0.93698,0.93685,1.84,1.39
11-09-2014,00:00:42.060,0.93698,0.93685,2.96,1
11-09-2014,00:00:42.112,0.93695,0.93682,1.17,2.89
11-09-2014,00:00:42.669,0.93695,0.93682,1.1,2.59
11-09-2014,00:00:43.176,0.93695,0.93682,1.17,2.51
11-09-2014,00:00:43.971,0.93695,0.93682,1,2.59
11-09-2014,00:00:44.477,0.93695,0.93682,1.07,2.51
11-09-2014,00:00:45.286,0.93695,0.93682,1.55,2.51
11-09-2014,00:00:46.766,0.93695,0.93682,1.57,1.69
11-09-2014,00:00:47.273,0.93695,0.93682,1.47,1.84
11-09-2014,00:00:52.482,0.93695,0.93682,1.77,1.25
11-09-2014,00:00:53.597,0.93695,0.93682,1.77,1.25
11-09-2014,00:00:54.518,0.93695,0.93682,1.55,1.76
11-09-2014,00:00:57.000,0.93695,0.93682,1.2,1.76
11-09-2014,00:01:01.133,0.93695,0.93682,1.45,1.76
11-09-2014,00:01:02.125,0.93695,0.93683,1.45,1.19
11-09-2014,00:01:03.758,0.93695,0.93683,1.47,1.29
11-09-2014,00:01:12.600,0.93695,0.93683,1.47,1.29
11-09-2014,00:01:14.653,0.93695,0.93682,1.47,2.59
11-09-2014,00:01:17.003,0.93695,0.93682,1.55,2.51
11-09-2014,00:01:17.510,0.93695,0.93682,1.55,2.44
11-09-2014,00:01:21.787,0.93695,0.93682,1.55,2.51
11-09-2014,00:01:21.991,0.93695,0.93682,1.55,1.69
