Date,Time,Ask,Bid,AskVolume,BidVolume
08-09-2014,00:00:01.472,1.29522,1.29518,2.25,1.5
08-09-2014,00:00:02.570,1.29521,1.29518,1,1
08-09-2014,00:00:03.272,1.29519,1.29517,1,1.69
08-09-2014,00:00:03.475,1.29519,1.29515,1.5,1.31
08-09-2014,00:00:03.778,1.29516,1.29514,1.5,1.87
08-09-2014,00:00:04.031,1.29514,1.2951,2.44,1
08-09-2014,00:00:04.385,1.29513,1.29508,1,3
08-09-2014,00:00:04.891,1.29513,1.29509,1,1
08-09-2014,00:00:05.403,1.29512,1.29509,1,1
08-09-2014,00:00:05.946,1.29513,1.29509,1.5,1.5
08-09-2014,00:00:06.704,1.29512,1.29509,1,1
08-09-2014,00:00:11.506,1.29513,1.2951,1.5,1.05
08-09-2014,00:00:11.607,1.29515,1.2951,4.69,3.3
08-09-2014,00:00:11.912,1.29511,1.2951,1,1
08-09-2014,00:00:12.013,1.29511,1.29508,1,1.5
08-09-2014,00:00:12.519,1.29512,1.29508,2.25,2.25
08-09-2014,00:00:14.325,1.29512,1.29508,3.94,2.25
08-09-2014,00:00:14.931,1.29512,1.29508,2.44,1.5
08-09-2014,00:00:15.184,1.29512,1.2951,1.69,1
08-09-2014,00:00:15.690,1.29513,1.29509,2.44,3.75
08-09-2014,00:00:17.254,1.29513,1.29509,4.69,1.5
08-09-2014,00:00:18.237,1.29513,1.29509,2.44,1.5
08-09-2014,00:00:18.752,1.29512,1.29508,2.44,2.25
08-09-2014,00:00:20.444,1.29511,1.29508,2.44,1.5
08-09-2014,00:00:21.453,1.29512,1.29508,5.44,1.5
08-09-2014,00:00:29.279,1.29512,1.29509,3.94,1
08-09-2014,00:00:30.194,1.29513,1.29509,3.19,3
08-09-2014,00:00:30.497,1.29514,1.29511,2.25,3
08-09-2014,00:00:31.004,1.29514,1.2951,3.75,1.5
08-09-2014,00:00:31.308,1.29512,1.29509,1.69,1.5
08-09-2014,00:00:40.277,1.29512,1.29511,1.25,1
08-09-2014,00:00:40.430,1.29513,1.29509,1.25,1.5
08-09-2014,00:00:43.495,1.29514,1.2951,5.44,1
08-09-2014,00:00:44.322,1.29514,1.29508,5.44,3
08-09-2014,00:00:44.823,1.29512,1.2951,1.25,1
08-09-2014,00:00:45.128,1.29512,1.29508,1.25,3.75
08-09-2014,00:00:47.614,1.29512,1.29509,1.25,1
08-09-2014,00:00:48.374,1.29512,1.29508,1.25,1.5
08-09-2014,00:00:48.880,1.29511,1.29507,1.5,1.5
08-09-2014,00:01:02.092,1.29511,1.29508,1,1
08-09-2014,00:01:03.682,1.29509,1.29508,1,1
08-09-2014,00:01:04.036,1.29509,1.29506,1,1.5
08-09-2014,00:01:04.546,1.29508,1.29505,1,3.19
08-09-2014,00:01:05.059,1.29509,1.29505,1.5,3
08-09-2014,00:01:05.584,1.29508,1.29505,1,3.75
08-09-2014,00:01:06.148,1.29506,1.29505,1,1
08-09-2014,00:01:06.249,1.29506,1.29504,5.25,1.5
08-09-2014,00:01:06.351,1.29503,1.29501,1,1
08-09-2014,00:01:06.503,1.29502,1.295,1,1
08-09-2014,00:01:07.010,1.29503,1.295,2.25,1.5
08-09-2014,00:01:07.719,1.29504,1.295,3,1.87
08-09-2014,00:01:08.659,1.29503,1.295,1,1.25
08-09-2014,00:01:09.295,1.29504,1.295,3,2.44
08-09-2014,00:01:09.806,1.29503,1.295,1.5,1.69
08-09-2014,00:01:10.310,1.29504,1.295,3,1.25
08-09-2014,00:01:10.868,1.29503,1.295,1.5,2.44
08-09-2014,00:01:11.373,1.29504,1.295,1.5,5.06
08-09-2014,00:01:11.879,1.29503,1.295,1.5,2.44
08-09-2014,00:01:12.389,1.29503,1.295,1.5,3
08-09-2014,00:01:12.925,1.29504,1.295,1.5,2.25
08-09-2014,00:01:13.430,1.29504,1.29502,2.25,1
08-09-2014,00:01:13.784,1.29506,1.29503,1,1
08-09-2014,00:01:13.936,1.29507,1.29505,1.69,1.5
08-09-2014,00:01:14.441,1.29507,1.29505,1,1
08-09-2014,00:01:16.727,1.29507,1.29504,1,1
08-09-2014,00:01:17.274,1.29508,1.29504,5.25,1
08-09-2014,00:01:20.887,1.29508,1.29506,3,1
08-09-2014,00:01:21.190,1.29508,1.29504,3.19,1
08-09-2014,00:01:22.832,1.29507,1.29503,1.5,4.5
08-09-2014,00:01:23.741,1.29506,1.29503,1,2.25
08-09-2014,00:01:24.247,1.29507,1.29503,2.44,2.25
08-09-2014,00:01:29.844,1.29507,1.29504,1.69,1
08-09-2014,00:01:33.541,1.29508,1.29504,3.19,1.5
08-09-2014,00:01:36.129,1.29507,1.29504,1.25,1
08-09-2014,00:01:37.066,1.29508,1.29504,2.44,1
08-09-2014,00:01:38.238,1.29507,1.29504,1,1
08-09-2014,00:01:38.744,1.29506,1.29503,1,3
08-09-2014,00:01:39.249,1.29507,1.29503,3,3
08-09-2014,00:01:40.241,1.29506,1.29503,1,1.5
08-09-2014,00:01:40.753,1.29507,1.29503,2.25,1.5
08-09-2014,00:01:41.262,1.29506,1.29503,1,1.5
08-09-2014,00:01:41.776,1.29507,1.29504,1.5,1.5
08-09-2014,00:01:42.369,1.29507,1.29505,1.5,1
08-09-2014,00:01:42.875,1.29507,1.29505,1,1
08-09-2014,00:01:45.455,1.29507,1.29504,1,1.5
08-09-2014,00:01:46.479,1.29507,1.29505,1.25,1
08-09-2014,00:01:50.043,1.29508,1.29505,1.69,1
08-09-2014,00:01:51.588,1.29509,1.29505,3.75,2.25
08-09-2014,00:01:51.943,1.2951,1.29508,1.87,1
08-09-2014,00:01:52.249,1.29515,1.29512,1,3.75
08-09-2014,00:01:52.451,1.29516,1.29514,1.5,1
08-09-2014,00:01:52.603,1.29518,1.29514,1,2.25
08-09-2014,00:01:53.311,1.29517,1.29514,1,3.19
08-09-2014,00:01:53.820,1.29518,1.29514,1,2.44
08-09-2014,00:01:55.241,1.29519,1.29515,4.5,1
08-09-2014,00:02:00.249,1.29519,1.29514,6.19,1.5
08-09-2014,00:02:01.018,1.29519,1.29514,5.44,1.5
08-09-2014,00:02:01.559,1.29519,1.29514,1.5,3
08-09-2014,00:02:01.932,1.2952,1.29516,6.19,1
08-09-2014,00:02:02.186,1.29522,1.29517,1.25,3
08-09-2014,00:02:02.287,1.29523,1.29519,7.69,1
08-09-2014,00:02:02.808,1.29523,1.29519,4.69,1
08-09-2014,00:02:03.318,1.29522,1.29518,1,1
08-09-2014,00:02:04.730,1.29523,1.29519,4.69,1
08-09-2014,00:02:05.621,1.29523,1.29519,3.19,1
08-09-2014,00:02:06.128,1.29522,1.29519,1,1
08-09-2014,00:02:06.682,1.29523,1.29519,3.75,1
08-09-2014,00:02:07.188,1.29522,1.29519,1,1
08-09-2014,00:02:07.694,1.29523,1.29519,6.37,1
08-09-2014,00:02:08.300,1.29522,1.29518,1,1
08-09-2014,00:02:08.805,1.29522,1.29519,1,1
08-09-2014,00:02:09.311,1.29522,1.29518,1,1
08-09-2014,00:02:09.823,1.29521,1.29517,1,5.25
08-09-2014,00:02:11.270,1.29522,1.29518,2.44,1
08-09-2014,00:02:12.206,1.29521,1.29518,1,1
08-09-2014,00:02:12.712,1.29522,1.29518,1.25,1
08-09-2014,00:02:13.017,1.29524,1.2952,3.75,1
08-09-2014,00:02:13.529,1.29525,1.2952,2.25,4.69
08-09-2014,00:02:15.436,1.29524,1.2952,1,3.75
08-09-2014,00:02:16.813,1.29525,1.2952,4.87,3
08-09-2014,00:02:17.321,1.29524,1.2952,1.5,1.5
08-09-2014,00:02:20.512,1.29525,1.29521,4.5,1
08-09-2014,00:02:21.016,1.29524,1.29521,1,1
08-09-2014,00:02:22.140,1.29525,1.29521,4.69,1
08-09-2014,00:02:24.167,1.29525,1.29521,3.94,1
08-09-2014,00:02:24.706,1.29525,1.29521,3,1
08-09-2014,00:02:25.260,1.29524,1.2952,1.25,1.5
08-09-2014,00:02:25.792,1.29525,1.2952,4.5,1
08-09-2014,00:02:26.096,1.29525,1.29522,4.5,1
08-09-2014,00:02:28.849,1.29525,1.29523,3,1
08-09-2014,00:02:32.108,1.29525,1.29523,1.5,1
08-09-2014,00:02:38.393,1.29525,1.29523,1.69,1
08-09-2014,00:02:39.316,1.29525,1.29521,3.94,2.25
08-09-2014,00:02:41.272,1.29525,1.29521,4.31,2.25
08-09-2014,00:02:41.373,1.29525,1.29522,3.19,1.5
08-09-2014,00:02:41.831,1.29526,1.29524,1.31,1
08-09-2014,00:02:42.753,1.29526,1.29522,1.62,3
08-09-2014,00:02:43.313,1.29526,1.29524,1.31,1
08-09-2014,00:02:43.819,1.29527,1.29523,3.56,1
08-09-2014,00:02:44.324,1.29527,1.29524,5.06,1
08-09-2014,00:02:44.869,1.29527,1.29524,5.06,1
08-09-2014,00:02:45.727,1.29527,1.29524,5.06,1
08-09-2014,00:02:46.335,1.29527,1.29524,3.56,1
08-09-2014,00:02:46.841,1.29527,1.29524,3.56,1
08-09-2014,00:02:47.343,1.29527,1.29524,3.56,1
08-09-2014,00:02:48.102,1.29527,1.29524,3.56,1
08-09-2014,00:02:48.705,1.29527,1.29523,3.56,1
08-09-2014,00:02:49.211,1.29526,1.29522,1.12,3
08-09-2014,00:02:49.768,1.29526,1.29522,3.56,3
08-09-2014,00:02:50.286,1.29526,1.29522,3.56,1.5
08-09-2014,00:02:50.792,1.29526,1.29522,3.56,1.5
08-09-2014,00:02:51.510,1.29526,1.29522,3.56,1.5
08-09-2014,00:02:52.117,1.29526,1.29522,1.37,1.5
08-09-2014,00:02:52.636,1.29526,1.29522,1.12,1.5
08-09-2014,00:02:53.349,1.29526,1.29522,1.37,1.5
08-09-2014,00:02:53.874,1.29526,1.29522,1.12,1.5
08-09-2014,00:02:54.538,1.29526,1.29522,1.37,1.5
08-09-2014,00:02:55.047,1.29526,1.29522,1.12,1.5
08-09-2014,00:02:55.615,1.29526,1.29522,1.37,2.25
08-09-2014,00:02:56.124,1.29526,1.29522,1.12,1.5
08-09-2014,00:02:56.705,1.29526,1.29522,1.37,1.5
08-09-2014,00:02:57.214,1.29526,1.29522,1.12,1.5
08-09-2014,00:02:58.223,1.29526,1.29522,1.37,1.5
08-09-2014,00:02:59.450,1.29526,1.29522,1.12,1.5
08-09-2014,00:02:59.982,1.29526,1.29522,1.37,1
08-09-2014,00:03:00.597,1.29526,1.29522,3.56,1
08-09-2014,00:03:01.302,1.29526,1.29522,4.31,1
08-09-2014,00:03:01.832,1.29526,1.29522,5.44,1
08-09-2014,00:03:02.387,1.29526,1.29522,5.44,1
08-09-2014,00:03:03.218,1.29525,1.29523,1,2.25
08-09-2014,00:03:03.269,1.29527,1.29523,3.94,3
08-09-2014,00:03:03.421,1.29527,1.29526,1,1
08-09-2014,00:03:03.926,1.29528,1.29525,2.44,2.25
08-09-2014,00:03:04.459,1.29529,1.29525,2.44,2.25
08-09-2014,00:03:05.019,1.29529,1.29526,1.5,1
08-09-2014,00:03:05.324,1.29531,1.29528,2.06,1.5
08-09-2014,00:03:05.832,1.29531,1.29528,1.25,1
08-09-2014,00:03:06.417,1.29532,1.29527,2.44,3.75
08-09-2014,00:03:07.873,1.29532,1.29528,2.44,1.5
08-09-2014,00:03:08.178,1.29533,1.29532,1.25,1
08-09-2014,00:03:08.634,1.29533,1.2953,1.69,2.25
08-09-2014,00:03:08.887,1.29532,1.29527,1.5,5.25
08-09-2014,00:03:09.392,1.29532,1.29528,1,1
08-09-2014,00:03:09.898,1.29532,1.29529,1.25,1
08-09-2014,00:03:11.023,1.29532,1.2953,3.94,1
08-09-2014,00:03:11.124,1.29532,1.29528,3.94,2.25
08-09-2014,00:03:13.834,1.29532,1.29529,3.19,1
08-09-2014,00:03:14.339,1.29532,1.29529,1,1
08-09-2014,00:03:15.632,1.29531,1.29528,1.5,1
08-09-2014,00:03:16.137,1.29532,1.29528,3.19,1.5
08-09-2014,00:03:22.058,1.29532,1.29528,4.69,2.25
08-09-2014,00:03:23.699,1.29531,1.29527,1.25,2.25
08-09-2014,00:03:24.875,1.2953,1.29527,1,1.5
08-09-2014,00:03:25.383,1.29529,1.29526,1.69,1
08-09-2014,00:03:25.890,1.29528,1.29525,1,2.62
08-09-2014,00:03:26.346,1.29525,1.29523,3.75,1
08-09-2014,00:03:26.397,1.29524,1.29522,2.25,1
08-09-2014,00:03:26.549,1.29523,1.29521,2.44,1
08-09-2014,00:03:26.810,1.29522,1.29519,1.25,2.25
08-09-2014,00:03:26.963,1.29521,1.29517,2.44,2.25
08-09-2014,00:03:27.722,1.2952,1.29516,1,3
08-09-2014,00:03:28.506,1.29521,1.29517,4.31,1
08-09-2014,00:03:29.022,1.29519,1.29516,1,1.5
08-09-2014,00:03:29.227,1.29517,1.29515,1,1
08-09-2014,00:03:29.429,1.29517,1.29513,1.69,3
08-09-2014,00:03:35.403,1.29516,1.29513,1.25,3
08-09-2014,00:03:39.403,1.29517,1.29513,1.25,2.25
08-09-2014,00:03:40.426,1.29516,1.29513,1.25,3
