Date,Time,Ask,Bid,AskVolume,BidVolume
08-09-2014,00:00:00.000,1.62144,1.62131,1.19,1
08-09-2014,00:00:00.923,1.62144,1.62128,1.19,2.89
08-09-2014,00:00:01.441,1.62145,1.62129,1.31,1.74
08-09-2014,00:00:02.364,1.62145,1.62131,1.19,1.76
08-09-2014,00:00:02.415,1.62148,1.62132,1.29,2.51
08-09-2014,00:00:02.567,1.62148,1.62136,1.19,1.12
08-09-2014,00:00:02.618,1.62149,1.62136,1,1.39
08-09-2014,00:00:02.669,1.6215,1.62138,1.5,3.19
08-09-2014,00:00:02.925,1.62162,1.62151,1.1,1.19
08-09-2014,00:00:03.026,1.62164,1.62151,1,1.36
08-09-2014,00:00:03.179,1.62166,1.62156,1.37,1.25
08-09-2014,00:00:03.584,1.62167,1.6216,1.87,1.19
08-09-2014,00:00:03.635,1.6217,1.6216,1.1,1.19
08-09-2014,00:00:03.787,1.62174,1.62161,1.95,1.94
08-09-2014,00:00:03.939,1.62177,1.62164,1,1
08-09-2014,00:00:03.990,1.62176,1.62164,1.19,1.57
08-09-2014,00:00:04.296,1.62174,1.62161,1.19,2.25
08-09-2014,00:00:04.904,1.62171,1.62162,1.25,1
08-09-2014,00:00:05.005,1.62176,1.62162,1.19,1.5
08-09-2014,00:00:05.411,1.62174,1.62161,1.76,1
08-09-2014,00:00:06.433,1.62174,1.62161,1.76,1
08-09-2014,00:00:07.403,1.62173,1.62161,1.39,1
08-09-2014,00:00:09.434,1.62173,1.62161,1.29,1
08-09-2014,00:00:11.534,1.62174,1.62161,1.76,1
08-09-2014,00:00:12.040,1.62173,1.62161,1.26,1
08-09-2014,00:00:14.204,1.62173,1.62161,1.01,1
08-09-2014,00:00:14.742,1.62173,1.62161,1.32,1
08-09-2014,00:00:16.916,1.62172,1.62159,1.01,1.69
08-09-2014,00:00:18.030,1.62169,1.62159,1.25,1
08-09-2014,00:00:19.327,1.62171,1.62159,1.29,1
08-09-2014,00:00:20.033,1.62173,1.62159,1.39,1.19
08-09-2014,00:00:20.743,1.62174,1.62159,3.64,1.19
08-09-2014,00:00:21.267,1.62173,1.62159,1.39,1.19
08-09-2014,00:00:21.773,1.62173,1.62159,2.14,1.25
08-09-2014,00:00:27.378,1.62171,1.62158,1.3,1.19
08-09-2014,00:00:28.258,1.62171,1.62158,1.76,1
08-09-2014,00:00:28.563,1.62168,1.62156,1.07,1.19
08-09-2014,00:00:28.975,1.62166,1.62153,1.2,1.19
08-09-2014,00:00:29.077,1.62164,1.62151,1.67,1.69
08-09-2014,00:00:29.381,1.6216,1.62148,1.07,3.19
08-09-2014,00:00:29.888,1.62161,1.62148,1.2,2.44
08-09-2014,00:00:30.396,1.62161,1.62148,1.2,1.69
08-09-2014,00:00:31.663,1.6216,1.62147,1.07,1.19
08-09-2014,00:00:32.490,1.62161,1.62147,1.2,1.19
08-09-2014,00:00:32.998,1.6216,1.62147,1.3,1.19
08-09-2014,00:00:33.605,1.62161,1.62147,2.44,1.25
08-09-2014,00:00:33.909,1.62161,1.62147,1.09,1.25
08-09-2014,00:00:35.853,1.62161,1.62147,2.51,1.25
08-09-2014,00:00:39.311,1.62161,1.62147,3.19,1.25
08-09-2014,00:00:39.412,1.62161,1.62147,1.84,1.25
08-09-2014,00:00:40.392,1.62161,1.62147,1.76,1.25
08-09-2014,00:00:40.494,1.62159,1.62147,1.07,1.25
