Time,Ask,Bid,AskVolume,BidVolume,
2014.09.09,00:00:00.379,1.28916,1.28912,3.75,3.19
2014.09.09,00:00:00.885,1.28915,1.28912,1,1.69
2014.09.09,00:00:01.391,1.28916,1.28912,1.5,1.69
2014.09.09,00:00:01.900,1.28916,1.28913,1.5,1.5
2014.09.09,00:00:02.355,1.28916,1.28915,1.5,1.5
2014.09.09,00:00:02.456,1.28916,1.28913,1.5,1.5
2014.09.09,00:00:02.968,1.28916,1.28914,1.5,3.19
2014.09.09,00:00:03.069,1.28918,1.28916,1,1
2014.09.09,00:00:03.374,1.28919,1.28917,3,1
2014.09.09,00:00:03.629,1.28922,1.2892,1,7
2014.09.09,00:00:03.680,1.28924,1.28921,1,3.44
2014.09.09,00:00:03.834,1.28925,1.28924,1,1.12
2014.09.09,00:00:03.935,1.28928,1.28923,1.5,3.19
2014.09.09,00:00:04.238,1.28927,1.28922,1.5,1.5
2014.09.09,00:00:04.744,1.28926,1.28923,1.5,1
2014.09.09,00:00:05.301,1.28928,1.28923,3,1
2014.09.09,00:00:05.813,1.28927,1.28922,1,3.75
2014.09.09,00:00:06.327,1.28926,1.28923,1,1
2014.09.09,00:00:06.798,1.28925,1.28921,1.5,3
2014.09.09,00:00:07.303,1.28924,1.28921,1,2.25
2014.09.09,00:00:09.435,1.28924,1.2892,1,2.25
2014.09.09,00:00:10.043,1.28924,1.28921,2.25,1
2014.09.09,00:00:10.550,1.28924,1.28922,1,1
2014.09.09,00:00:11.157,1.28924,1.28921,2.44,1.5
2014.09.09,00:00:11.308,1.28921,1.28919,1,1.5
2014.09.09,00:00:11.460,1.2892,1.28917,1.5,1
2014.09.09,00:00:11.511,1.2892,1.28915,2.25,1.5
2014.09.09,00:00:12.017,1.28919,1.28916,1.5,1.5
2014.09.09,00:00:12.068,1.28917,1.28916,1,1.5
2014.09.09,00:00:13.281,1.28919,1.28916,1,1.5
2014.09.09,00:00:13.787,1.2892,1.28916,3.94,1.5
2014.09.09,00:00:14.334,1.2892,1.28917,1.25,1.5
2014.09.09,00:00:18.681,1.28921,1.28917,5.62,1.5
2014.09.09,00:00:19.198,1.2892,1.28917,1.5,1.5
2014.09.09,00:00:19.707,1.28921,1.28917,6.19,1.5
2014.09.09,00:00:20.318,1.2892,1.28917,2.25,1.5
