Time,Ask,Bid,AskVolume,BidVolume,
2014.09.09,00:00:00.257,1.60933,1.6092,1.84,1.69
2014.09.09,00:00:00.769,1.60933,1.60921,1.36,1
2014.09.09,00:00:01.317,1.60934,1.6092,1.46,1.69
2014.09.09,00:00:01.879,1.60935,1.6092,1.39,2.44
2014.09.09,00:00:02.234,1.60936,1.60924,2.44,1
2014.09.09,00:00:02.539,1.60937,1.60926,2.44,1.5
2014.09.09,00:00:02.865,1.60937,1.6093,1.5,1.19
2014.09.09,00:00:03.172,1.60938,1.60933,3,1.5
2014.09.09,00:00:03.631,1.60948,1.60934,1,3.26
2014.09.09,00:00:03.682,1.60948,1.60936,1,1.29
2014.09.09,00:00:03.886,1.60952,1.60936,1.25,2.59
2014.09.09,00:00:04.089,1.60952,1.6094,1,1.19
2014.09.09,00:00:04.292,1.60956,1.60941,1.32,1.29
2014.09.09,00:00:04.546,1.60957,1.60941,4.01,1.69
2014.09.09,00:00:05.406,1.60952,1.60941,1.25,1
2014.09.09,00:00:05.711,1.60952,1.60939,1.76,1
2014.09.09,00:00:06.219,1.60952,1.60938,3.19,1.25
2014.09.09,00:00:07.513,1.60951,1.60935,1.36,3.19
2014.09.09,00:00:08.076,1.60951,1.60935,3.19,2.51
2014.09.09,00:00:08.178,1.60947,1.60935,1.1,1.69
2014.09.09,00:00:10.337,1.60947,1.60935,1,1.07
2014.09.09,00:00:10.843,1.6095,1.60935,1.69,2.32
2014.09.09,00:00:11.351,1.6095,1.60935,1.76,1.65
2014.09.09,00:00:11.857,1.60947,1.60935,1.25,1.76
2014.09.09,00:00:12.363,1.60947,1.60935,1.25,2.44
2014.09.09,00:00:13.649,1.6095,1.60936,1.25,1.32
2014.09.09,00:00:14.156,1.60952,1.60937,2.44,1.57
2014.09.09,00:00:14.281,1.60952,1.60937,2.44,1.2
2014.09.09,00:00:15.644,1.60952,1.60937,1.69,1.76
2014.09.09,00:00:16.161,1.60952,1.60938,1.69,1
2014.09.09,00:00:16.678,1.60952,1.60938,2.44,1.25
2014.09.09,00:00:19.607,1.60952,1.60938,1.76,1.25
2014.09.09,00:00:21.597,1.60952,1.60938,1.76,1.25
2014.09.09,00:00:22.106,1.60952,1.60938,2.44,1.25
2014.09.09,00:00:22.620,1.60952,1.60938,1.69,1.25
2014.09.09,00:00:23.367,1.60952,1.60938,1.84,1.25
2014.09.09,00:00:24.465,1.60952,1.60938,1.76,1.01
2014.09.09,00:00:25.012,1.60952,1.60938,2.51,1.25
2014.09.09,00:00:25.316,1.60952,1.60939,1.01,1.31
2014.09.09,00:00:25.764,1.60954,1.6094,1.76,2.44
2014.09.09,00:00:25.917,1.60956,1.60941,1.39,2.44
2014.09.09,00:00:26.424,1.60953,1.60942,1,1.19
2014.09.09,00:00:27.438,1.60953,1.6094,1.25,1.84
2014.09.09,00:00:28.963,1.60953,1.6094,1.25,1.1
2014.09.09,00:00:29.449,1.60953,1.6094,1.69,1.1
2014.09.09,00:00:29.653,1.60955,1.6094,1.26,1.76
2014.09.09,00:00:30.211,1.60955,1.60942,1.29,1
2014.09.09,00:00:31.045,1.60957,1.60942,2.89,1.19
2014.09.09,00:00:32.692,1.60957,1.60942,1.34,1.69
2014.09.09,00:00:33.865,1.60957,1.60942,1.76,1.29
2014.09.09,00:00:33.916,1.60952,1.60942,1,1.29
2014.09.09,00:00:34.850,1.60952,1.60941,1,1.76
2014.09.09,00:00:35.655,1.60956,1.60941,1.76,1.76
2014.09.09,00:00:36.267,1.60956,1.60941,1.09,2.51
2014.09.09,00:00:36.879,1.60952,1.60941,1,2.51
2014.09.09,00:00:37.183,1.60956,1.60941,1.09,1.19
2014.09.09,00:00:38.508,1.60956,1.60941,1.09,1.39
2014.09.09,00:00:39.168,1.60952,1.60941,1,1.29
2014.09.09,00:00:39.624,1.60955,1.6094,1.65,3.64
2014.09.09,00:00:40.137,1.60953,1.6094,1.25,1.76
2014.09.09,00:00:41.067,1.60953,1.6094,1.19,1.01
2014.09.09,00:00:44.714,1.60953,1.6094,1.19,1.32
2014.09.09,00:00:45.377,1.60953,1.6094,1.25,1.07
2014.09.09,00:00:46.588,1.60953,1.60939,1.19,4.01
2014.09.09,00:00:47.153,1.60953,1.60939,1.19,3.34
2014.09.09,00:00:48.731,1.60953,1.60939,1.69,3.34
2014.09.09,00:00:50.638,1.60953,1.60938,1.69,2.59
2014.09.09,00:00:51.161,1.60953,1.60938,1.69,3.26
2014.09.09,00:00:51.927,1.60953,1.60938,1.69,2.59
